ID,TITLE,AUTHOR,YEAR,GENRE,READ
1,The Silent Horizon,Emma Collins,2023,Science Fiction,0
2,Whispers in the Dark,James Hart,2022,Thriller,1
3,A Journey Through Time,Sophia Lee,2021,Historical Fiction,0
4,The Enchanted Forest,Oliver White,2023,Fantasy,1
5,Secrets of the Old Manor,Isabella Green,2020,Mystery,0
6,The Quantum Quest,Lucas Brown,2024,Science Fiction,1
7,Love in the Rain,Ava Johnson,2022,Romance,0
8,The Forgotten Island,Noah Wilson,2021,Adventure,1
9,The Last Expedition,Charlotte Taylor,2023,Historical Fiction,0
10,Mystery of the Lost Key,Ethan Martinez,2022,Mystery,1
11,The Invisible Enemy,Mia Anderson,2023,Thriller,0
12,The Crimson Crown,Liam Lewis,2021,Fantasy,1
13,Echoes of Eternity,Amelia Walker,2024,Science Fiction,0
14,The Hidden Path,Benjamin Harris,2020,Adventure,1
15,Love and Lies,Sofia Robinson,2023,Romance,0
16,The Clockwork City,William Hall,2022,Science Fiction,1
17,Shadows of the Past,Olivia Adams,2021,Historical Fiction,0
18,The Phantom's Curse,James King,2023,Mystery,1
19,The Dreamweaver,Isabella Scott,2024,Fantasy,0
20,The Lost Treasure,Aiden Young,2021,Adventure,1
21,Secrets of the Abyss,Evelyn Carter,2023,Thriller,0
22,The Iron Will,Jacob Green,2022,Historical Fiction,1
23,The Hidden Door,Lily Clark,2020,Fantasy,0
24,The Forgotten Legend,Daniel Wright,2024,Mystery,1
25,The Whispering Shadows,Grace Lewis,2023,Thriller,0
26,The Alchemist's Journey,Henry Walker,2021,Science Fiction,1
27,The Haunting of Hill House,Chloe Brown,2022,Horror,0
28,In the Land of Giants,Mason Martinez,2023,Fantasy,1
29,The Secret Garden,Harper King,2020,Romance,0
30,The Time Traveler's Diary,Jack Moore,2024,Science Fiction,1
31,The Midnight Code,Emily Wilson,2021,Thriller,0
32,The Ghost of Blackwood Manor,Nathan Lee,2022,Mystery,1
33,The Lost City of Z,Olivia Adams,2023,Adventure,0
34,The Illusionist's Trick,Lucas Robinson,2024,Fantasy,1
35,The Silent Witness,Mia Harris,2021,Thriller,0
36,The Celestial Voyage,George Thompson,2023,Science Fiction,1
37,The Cursed Jewel,Samantha Evans,2022,Mystery,0
38,The Secret Society,David White,2020,Adventure,1
39,The Enigma of the Stars,Alice Wright,2024,Science Fiction,0
40,The Last Heir,Elijah Clark,2021,Historical Fiction,1
41,The Silver Lining,Amelia Scott,2022,Romance,0
42,The Keeper of the Flame,John Lewis,2023,Fantasy,1
43,The Abyssal Depths,Natalie Carter,2024,Thriller,0
44,The Forbidden Library,Christopher King,2021,Mystery,1
45,The Hidden Truth,Evelyn Adams,2023,Science Fiction,0
46,The Shadow Realm,Matthew Martinez,2022,Fantasy,1
47,The Phantom of Ravenswood,Isabella Johnson,2020,Thriller,0
48,The Eternal Quest,Daniel Walker,2024,Adventure,1
49,The Clockmaker's Secret,Emma Brown,2021,Science Fiction,0
50,The Lost Realm,Oliver Hall,2022,Fantasy,1
51,The Whispering Winds,Charlotte Clark,2023,Thriller,0
52,The Hidden Fortress,James Lewis,2021,Mystery,1
